filename,rank,keyword,score
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,5,milan,0.014429
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,6,vašek,0.010344
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,7,jožka,0.010223
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,8,chlapci,0.008292
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,9,hajný,0.008091
27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,10,kluci,0.007795
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,1,ali,0.048137
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,2,král,0.024218
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,3,aliho,0.016486
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,4,pokladu,0.014724
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,5,alimu,0.011870
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,6,králi,0.011870
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,7,dvořané,0.011870
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,8,strážce,0.011006
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,9,královského,0.008573
29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,10,dvořanů,0.006594
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,1,nome,0.015737
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,2,kasson,0.015143
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,3,seppala,0.012768
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,4,welch,0.010689
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,5,štafeta,0.009204
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,6,šerif,0.007140
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,7,serum,0.006829
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,8,gunnard,0.006829
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,9,sáně,0.006630
29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,10,doktor,0.006600
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,1,trestanci,0.011827
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,2,káznici,0.007256
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,3,káznice,0.006543
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,4,trestanec,0.006291
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,5,všichni,0.004793
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,6,trestnici,0.004320
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,7,nás,0.003864
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,8,trestnice,0.003733
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,9,trestance,0.003733
34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,10,jaksi,0.003651
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,1,goljadkin,0.019169
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,2,goljadkina,0.010021
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,3,pan,0.007559
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,4,pana,0.006281
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,5,všechno,0.005523
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,6,jakoby,0.004830
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,7,hrdina,0.004500
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,8,konečně,0.004119
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,9,jakube,0.003834
37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,10,jí,0.003604
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,1,slávek,0.033864
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,2,partyzáni,0.006850
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,3,tetička,0.005270
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,4,milka,0.005113
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,5,tam,0.005073
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,6,slávku,0.004723
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,7,zase,0.004368
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,8,němci,0.004318
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,9,štěpánov,0.004245
47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,10,jim,0.003863
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",1,le,0.027211
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",2,vá,0.022822
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",3,vo,0.020774
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",4,ko,0.019851
"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",5,lo,0.013821
